GrantIDs	Counter
U01 DK106981	3
U01 DK085689	2
R01 DK108803	2
R01 DK124399	3
HHSN268201700005C	17
HHSN268201700001C	17
HHSN268201700003C	17
R01 HL141824	3
HHSN268201700004C	17
R01 HL046380	20
U01 HL063463	6
R01 HL113338	14
R01 HL070839	4
R03 HL154284	4
R01 HL110068	1
K01 HL135405	16
K05 CA152715	10
R35 CA253185	2
UG1 CA189858	2
R01 CA176272	5
P30 CA015083	41
UG1 CA233339	1
T32 CA094880	2
R01 HL104135	5
R01 HL071250	22
R01 NS058700	5
U01 HL117721	2
U10 HL054472	10
U01 HL054472	12
R01 HL113264	17
R01 HL080083	1
OT3 HL142478	3
UM1 HL098162	1
R01 ES021801	9
R01 HL095080	7
U01 HL072496	1
UM1 HL098123	2
R01 HL133040	2
R01 HL121007	6
R01 HL111249	2
R01 HL071259	22
U01 HL054527	3
R01 HL069234	1
R01 HL068986	18
R01 HL087660	30
R01 AR048797	7
R01 HL092577	31
R01 HL085251	48
R01 HL066216	4
U10 HL064307	9
R01 AG058921	2
R01 HL089856	28
U10 HL064295	5
OT3 HL142481	3
U01 HL065962	9
U10 HL064288	6
U01 HL054464	9
OT3 HL147154	3
U10 HL064287	6
R37 HL066289	19
R01 HL067348	12
R01 HL113326	5
R01 HL071051	22
U01 HL072524	20
P01 ES011627	8
U10 HL064305	6
U01 HL054457	12
R01 HL104608	9
P01 HL045522	11
OT3 HL142480	3
UM1 HL128761	1
U10 HL109164	3
HHSN268201500014C	8
R01 HL133221	3
75N92021D00006	12
R01 HL080467	28
R01 HL068959	1
U01 HL072507	16
R01 DK071891	10
R01 HL093093	3
R01 HL087263	18
R01 HL097163	7
R01 HL071205	34
U01 HL054481	9
OT3 HL142479	3
UM1 HL128711	1
UM1 HL098147	2
R01 HL090682	19
R01 HL073410	22
RC1 HL099355	5
R01 HL118267	8
R01 HL071258	22
R01 HL055673	21
R01 HL079915	1
R01 HL092301	9
U10 HL064313	8
R01 HL122225	2
T15 LM007092	4
CRN-AESS	1
CH/13/2/30154	2
RG/15/12/31616	9
R01 LM012535	13
T32 HG009495	2
R01 DK092238	5
R01 HL109301	4
KL2 TR002387	2
R01 MD007105	1
1,050,208	1
